FamilyID	wild_yak	takin	water_buffalo
fam176	14	7	2
fam177	4	14	4
fam178	5	16	2
fam179	6	14	2
fam180	10	5	7
fam181	10	10	2
fam182	10	11	2
fam183	11	7	4
fam184	9	6	6
fam185	10	9	2
fam186	10	8	3
fam187	7	10	4
fam188	4	7	10
fam189	5	10	6
fam190	8	3	10
fam191	11	9	2
fam192	8	11	2
fam193	11	9	2
fam194	9	11	2
fam195	7	12	2
fam196	8	8	5
fam197	13	7	2
fam198	13	5	3
fam199	5	15	2
fam200	15	3	3
fam201	14	5	2
fam202	10	5	6
fam203	10	10	2
fam204	14	5	2
fam205	8	8	5
fam206	14	2	6
fam207	6	7	8
fam208	10	8	3
fam209	12	8	2
fam210	10	7	4
fam211	12	8	2
fam212	6	7	7
fam213	6	8	6
fam214	7	8	5
fam215	8	6	6
fam216	8	9	3
fam217	9	9	2
fam218	9	6	5
fam219	7	4	9
fam220	8	9	3
fam221	10	9	2
fam222	10	9	2
fam223	8	10	2
fam224	8	10	2
fam225	10	9	2
fam226	9	10	2
fam227	8	11	2
fam228	11	8	2
fam229	11	6	3
fam230	11	5	4
fam231	8	11	2
fam232	12	7	2
fam233	7	12	2
fam234	4	12	4
fam235	12	7	2
fam236	9	9	2
fam237	8	11	2
fam238	14	5	2
fam239	14	4	2
fam240	10	9	2
fam241	15	3	2
fam242	14	5	2
fam243	11	4	5
fam244	13	6	2
fam245	8	7	5
fam246	9	9	2
fam247	8	8	4
fam248	12	7	2
fam249	7	7	6
fam250	12	7	2
fam251	12	7	2
fam252	8	8	4
fam253	5	8	7
fam254	10	9	2
fam255	8	8	4
fam256	11	7	2
fam257	5	7	7
fam258	6	7	6
fam259	7	7	5
fam260	8	7	4
fam261	8	6	5
fam262	6	5	8
fam263	8	6	5
fam264	9	9	2
fam265	9	9	2
fam266	7	9	3
fam267	7	9	3
fam268	8	9	2
fam269	9	9	2
fam270	9	9	2
fam271	8	6	5
fam272	6	8	5
fam273	6	10	3
fam274	10	8	2
fam275	10	5	4
fam276	10	8	2
fam277	7	10	2
fam278	10	8	2
fam279	6	11	2
fam280	7	11	2
fam281	6	11	2
fam282	11	7	2
fam283	12	6	2
fam284	3	4	12
fam285	7	11	2
fam286	6	5	8
fam287	13	5	2
fam288	13	5	2
fam289	12	6	2
fam290	7	7	5
fam291	11	4	4
fam292	15	3	2
fam293	14	4	2
fam294	9	9	2
fam295	13	5	2
fam296	10	8	2
fam297	9	7	3
fam298	8	8	3
fam299	17	2	2
fam300	10	7	2
fam301	17	2	2
fam302	6	6	6
fam303	7	6	5
fam304	7	7	4
fam305	6	7	5
fam306	7	5	6
fam307	5	6	7
fam308	7	4	7
fam309	8	8	2
fam310	8	8	2
fam311	8	7	3
fam312	7	8	3
fam313	9	5	4
fam314	9	6	3
fam315	9	8	2
fam316	9	5	4
fam317	8	9	2
fam318	9	8	2
fam319	6	9	3
fam320	6	9	3
fam321	9	6	3
fam322	8	9	2
fam323	8	7	3
fam324	10	7	2
fam325	7	10	2
fam326	10	7	2
fam327	10	7	2
fam328	10	7	2
fam329	10	7	2
fam330	9	7	2
fam331	7	7	4
fam332	11	6	2
fam333	6	11	2
fam334	11	4	3
fam335	5	6	7
fam336	12	2	5
fam337	3	12	3
fam338	12	5	2
fam339	12	5	2
fam340	9	7	2
fam341	10	7	2
fam342	12	5	2
fam343	13	4	2
fam344	10	7	2
fam345	9	4	5
fam346	14	2	2
fam347	8	6	4
fam348	11	3	4
fam349	11	5	2
fam350	7	8	3
fam351	15	2	2
fam352	5	12	2
fam353	9	4	5
fam354	7	10	2
fam355	16	2	2
fam356	16	2	2
fam357	8	8	2
fam358	16	2	2
fam359	16	2	2
fam360	16	2	2
fam361	8	9	2
fam362	11	2	6
fam363	6	5	6
fam364	6	6	5
fam365	6	5	6
fam366	6	5	6
fam367	7	3	7
fam368	7	6	4
fam369	7	7	3
fam370	4	7	6
fam371	7	3	7
fam372	7	7	3
fam373	6	7	4
fam374	6	4	7
fam375	8	5	4
fam376	7	8	2
fam377	8	8	2
fam378	5	4	8
fam379	8	4	5
fam380	4	8	5
fam381	6	3	8
fam382	8	6	3
fam383	8	6	3
fam384	5	9	3
fam385	9	7	2
fam386	9	7	2
fam387	7	9	2
fam388	7	9	2
fam389	5	4	8
fam390	9	6	2
fam391	9	2	6
fam392	7	6	4
fam393	10	6	2
fam394	6	10	2
fam395	10	6	2
fam396	10	6	2
fam397	4	3	10
fam398	7	9	2
fam399	10	6	2
fam400	10	6	2
fam401	8	5	4
fam402	7	9	2
fam403	7	5	5
fam404	8	8	2
fam405	8	8	2
fam406	6	5	6
fam407	6	9	2
fam408	9	6	2
fam409	9	7	2
fam410	7	4	6
fam411	12	4	2
fam412	12	3	2
fam413	2	3	12
fam414	10	2	5
fam415	12	4	2
fam416	5	7	5
fam417	9	7	2
fam418	8	7	2
fam419	2	2	13
fam420	10	4	3
fam421	7	6	4
fam422	5	7	5
fam423	8	8	2
fam424	5	9	3
fam425	13	2	3
fam426	7	7	3
fam427	8	7	2
fam428	9	7	2
fam429	10	6	2
fam430	8	8	2
fam431	6	8	3
fam432	10	6	2
fam433	15	2	2
fam434	15	2	2
fam435	10	5	2
fam436	15	2	2
fam437	2	15	2
fam438	13	2	3
fam439	5	5	7
fam440	6	10	2
fam441	5	5	6
fam442	6	6	4
fam443	6	4	6
fam444	5	6	5
fam445	5	6	5
fam446	4	6	6
fam447	5	6	5
fam448	6	6	4
fam449	5	7	4
fam450	5	4	7
fam451	7	7	2
fam452	7	2	7
fam453	6	7	3
fam454	6	7	3
fam455	5	4	7
fam456	7	7	2
fam457	7	6	3
fam458	8	7	2
fam459	8	7	2
fam460	3	5	8
fam461	8	5	3
fam462	8	7	2
fam463	8	7	2
fam464	8	7	2
fam465	6	2	8
fam466	7	8	2
fam467	8	6	2
fam468	5	8	3
fam469	6	8	2
fam470	4	4	8
fam471	8	3	5
fam472	8	7	2
fam473	8	7	2
fam474	7	7	2
fam475	9	6	2
fam476	9	6	2
fam477	9	6	2
fam478	9	4	3
fam479	8	7	2
fam480	9	6	2
fam481	9	6	2
fam482	9	6	2
fam483	9	2	6
fam484	7	7	2
fam485	7	6	3
fam486	10	5	2
fam487	10	5	2
fam488	10	5	2
fam489	10	2	5
fam490	10	5	2
fam491	10	3	3
fam492	10	5	2
fam493	6	5	5
fam494	11	4	2
fam495	11	4	2
fam496	2	3	11
fam497	10	2	5
fam498	4	4	8
fam499	4	7	5
fam500	8	7	2
fam501	7	4	5
fam502	6	6	4
fam503	12	3	2
fam504	5	7	4
fam505	5	10	2
fam506	6	7	3
fam507	8	7	2
fam508	13	2	2
fam509	7	6	3
fam510	10	5	2
fam511	8	4	4
fam512	10	5	2
fam513	11	4	2
fam514	4	7	5
fam515	10	5	2
fam516	11	4	2
fam517	10	3	3
fam518	8	6	2
fam519	2	14	2
fam520	8	6	2
fam521	2	10	4
fam522	7	7	2
fam523	7	4	5
fam524	5	5	5
fam525	5	5	5
fam526	5	5	5
fam527	5	5	5
fam528	6	6	3
fam529	6	5	4
fam530	6	6	3
fam531	4	6	5
fam532	6	4	5
fam533	6	5	4
fam534	6	4	5
fam535	6	4	5
fam536	6	5	4
fam537	5	6	4
fam538	6	6	3
fam539	6	5	4
fam540	7	7	2
fam541	7	5	3
fam542	2	7	7
fam543	5	7	3
fam544	4	7	4
fam545	6	7	2
fam546	7	7	2
fam547	5	7	3
fam548	7	6	2
fam549	7	6	2
fam550	7	6	2
fam551	7	7	2
fam552	5	3	7
fam553	5	7	3
fam554	7	5	3
fam555	5	7	3
fam556	7	5	3
fam557	6	7	2
fam558	6	7	2
fam559	7	6	2
fam560	7	6	2
fam561	7	2	6
fam562	6	6	3
fam563	8	6	2
fam564	8	6	2
fam565	8	5	2
fam566	8	2	6
fam567	8	6	2
fam568	6	8	2
fam569	8	6	2
fam570	8	2	5
fam571	6	8	2
fam572	8	6	2
fam573	6	2	8
fam574	6	8	2
fam575	8	6	2
fam576	8	2	6
fam577	8	2	5
fam578	8	6	2
fam579	5	8	2
fam580	6	8	2
fam581	8	5	2
fam582	8	5	2
fam583	8	5	2
fam584	8	4	3
fam585	5	4	6
fam586	7	5	3
fam587	9	4	2
fam588	9	5	2
fam589	9	5	2
fam590	9	4	2
fam591	9	5	2
fam592	4	9	2
fam593	5	9	2
fam594	9	5	2
fam595	9	5	2
fam596	9	5	2
fam597	9	5	2
fam598	9	5	2
fam599	9	5	2
fam600	7	4	4
fam601	6	3	6
fam602	7	2	6
fam603	5	5	5
fam604	10	4	2
fam605	10	2	4
fam606	7	3	5
fam607	10	4	2
fam608	10	4	2
fam609	5	7	3
fam610	10	4	2
fam611	5	5	5
fam612	10	4	2
fam613	6	4	5
fam614	5	7	3
fam615	9	5	2
fam616	11	2	2
fam617	11	3	2
fam618	7	4	4
fam619	3	11	2
fam620	5	6	4
fam621	5	8	2
fam622	8	6	2
fam623	7	7	2
fam624	6	5	4
fam625	7	7	2
fam626	7	4	4
fam627	2	12	2
fam628	2	2	12
fam629	7	5	3
fam630	6	4	5
fam631	9	5	2
fam632	7	7	2
fam633	8	6	2
fam634	8	6	2
fam635	4	9	2
fam636	8	6	2
fam637	6	7	2
fam638	13	2	2
fam639	8	6	2
fam640	7	7	2
fam641	4	4	7
fam642	9	5	2
fam643	10	3	2
fam644	9	5	2
fam645	4	9	2
fam646	5	4	5
fam647	5	5	4
fam648	4	5	5
fam649	5	5	4
fam650	5	5	4
fam651	5	5	4
fam652	5	5	4
fam653	4	5	5
fam654	4	5	5
fam655	5	5	4
fam656	5	4	5
fam657	6	4	4
fam658	6	4	4
fam659	6	3	5
fam660	5	6	3
fam661	5	6	3
fam662	2	6	6
fam663	6	4	4
fam664	3	5	6
fam665	4	6	4
fam666	6	4	4
fam667	5	6	3
fam668	6	5	3
fam669	5	6	3
fam670	6	5	3
fam671	3	6	5
fam672	5	6	3
fam673	6	5	3
fam674	4	4	6
fam675	6	7	2
fam676	7	4	3
fam677	7	6	2
fam678	7	6	2
fam679	6	7	2
fam680	7	4	3
fam681	7	4	3
fam682	6	7	2
fam683	7	5	2
fam684	7	6	2
fam685	5	7	2
fam686	7	6	2
fam687	6	7	2
fam688	7	6	2
fam689	6	7	2
fam690	4	7	3
fam691	6	7	2
fam692	6	7	2
fam693	6	7	2
fam694	7	6	2
fam695	6	7	2
fam696	6	7	2
fam697	7	6	2
fam698	6	7	2
fam699	4	7	3
fam700	7	5	2
fam701	7	4	3
fam702	6	7	2
fam703	5	2	7
fam704	3	4	7
fam705	7	2	6
fam706	7	6	2
fam707	6	7	2
fam708	7	6	2
fam709	8	5	2
fam710	8	5	2
fam711	2	5	8
fam712	8	5	2
fam713	4	8	2
fam714	8	5	2
fam715	5	8	2
fam716	8	5	2
fam717	8	4	2
fam718	8	5	2
fam719	8	5	2
fam720	8	5	2
fam721	8	2	4
fam722	8	5	2
fam723	8	5	2
fam724	8	5	2
fam725	2	8	4
fam726	8	5	2
fam727	4	8	2
fam728	2	5	8
fam729	4	8	2
fam730	8	2	5
fam731	2	6	6
fam732	7	4	3
fam733	3	2	9
fam734	9	4	2
fam735	9	4	2
fam736	9	4	2
fam737	4	9	2
fam738	9	4	2
fam739	9	4	2
fam740	4	9	2
fam741	9	3	2
fam742	3	9	2
fam743	9	4	2
fam744	9	4	2
fam745	9	2	4
fam746	7	5	2
fam747	7	6	2
fam748	10	2	3
fam749	10	2	2
fam750	10	2	3
fam751	8	5	2
fam752	8	2	5
fam753	5	5	4
fam754	8	5	2
fam755	5	5	4
fam756	2	11	2
fam757	11	2	2
fam758	11	2	2
fam759	9	2	4
fam760	6	3	5
fam761	7	6	2
fam762	8	5	2
fam763	7	6	2
fam764	12	2	2
fam765	12	2	2
fam766	12	2	2
fam767	12	2	2
fam768	12	2	2
fam769	6	6	2
fam770	12	2	2
fam771	12	2	2
fam772	6	6	2
fam773	4	9	2
fam774	9	4	2
fam775	8	5	2
fam776	6	2	6
fam777	5	8	2
fam778	4	7	3
fam779	9	2	4
fam780	6	6	2
fam781	8	3	3
fam782	9	4	2
fam783	7	6	2
fam784	5	8	2
fam785	4	4	5
fam786	5	5	3
fam787	3	5	5
fam788	4	5	4
fam789	5	5	3
fam790	5	4	4
fam791	4	4	5
fam792	5	4	4
fam793	5	5	3
fam794	4	5	4
fam795	4	5	4
fam796	4	5	4
fam797	5	4	4
fam798	4	4	5
fam799	4	5	4
fam800	4	4	5
fam801	4	5	4
fam802	4	5	4
fam803	4	5	4
fam804	5	3	5
fam805	4	3	6
fam806	6	3	4
fam807	6	6	2
fam808	6	6	2
fam809	6	6	2
fam810	6	4	3
fam811	6	5	2
fam812	6	4	3
fam813	6	5	2
fam814	6	4	3
fam815	6	6	2
fam816	6	4	3
fam817	6	6	2
fam818	4	6	3
fam819	6	3	4
fam820	6	6	2
fam821	6	6	2
fam822	6	5	2
fam823	4	3	6
fam824	6	3	4
fam825	6	3	4
fam826	6	6	2
fam827	6	6	2
fam828	5	6	2
fam829	3	6	4
fam830	6	5	2
fam831	4	6	3
fam832	6	3	4
fam833	3	4	6
fam834	6	6	2
fam835	5	6	2
fam836	5	6	2
fam837	4	6	3
fam838	6	6	2
fam839	4	6	3
fam840	6	3	4
fam841	6	6	2
fam842	6	4	3
fam843	6	6	2
fam844	6	6	2
fam845	6	4	3
fam846	6	4	3
fam847	6	2	5
fam848	4	3	6
fam849	6	6	2
fam850	6	6	2
fam851	6	5	2
fam852	6	4	3
fam853	5	4	4
fam854	4	7	2
fam855	3	7	3
fam856	7	5	2
fam857	7	5	2
fam858	7	5	2
fam859	4	7	2
fam860	7	3	3
fam861	7	5	2
fam862	7	4	2
fam863	7	5	2
fam864	7	5	2
fam865	5	7	2
fam866	7	5	2
fam867	7	5	2
fam868	7	5	2
fam869	7	5	2
fam870	5	7	2
fam871	7	5	2
fam872	7	4	2
fam873	7	2	5
fam874	7	5	2
fam875	3	7	3
fam876	7	5	2
fam877	7	3	3
fam878	5	7	2
fam879	7	4	2
fam880	7	5	2
fam881	7	5	2
fam882	5	7	2
fam883	7	5	2
fam884	7	5	2
fam885	5	7	2
fam886	7	5	2
fam887	7	5	2
fam888	5	7	2
fam889	5	7	2
fam890	7	5	2
fam891	2	5	7
fam892	7	2	5
fam893	4	7	2
fam894	7	2	5
fam895	4	2	7
fam896	5	4	4
fam897	5	4	4
fam898	6	4	3
fam899	2	5	6
fam900	4	4	5
fam901	8	4	2
fam902	4	8	2
fam903	3	2	8
fam904	8	4	2
fam905	8	4	2
fam906	7	5	2
fam907	8	2	4
fam908	3	2	8
fam909	8	4	2
fam910	4	8	2
fam911	8	4	2
fam912	8	3	2
fam913	5	5	3
fam914	8	4	2
fam915	8	2	3
fam916	4	4	5
fam917	8	4	2
fam918	8	4	2
fam919	8	4	2
fam920	4	8	2
fam921	5	4	4
fam922	6	6	2
fam923	3	6	4
fam924	3	9	2
fam925	5	4	4
fam926	9	3	2
fam927	8	4	2
fam928	7	5	2
fam929	6	6	2
fam930	9	2	3
fam931	9	3	2
fam932	4	4	5
fam933	4	5	4
fam934	9	2	3
fam935	3	9	2
fam936	9	2	3
fam937	4	2	8
fam938	4	3	6
fam939	4	5	4
fam940	6	5	2
fam941	4	6	3
fam942	5	7	2
fam943	7	5	2
fam944	5	5	3
fam945	10	2	2
fam946	10	2	2
fam947	10	2	2
fam948	9	3	2
fam949	5	5	3
fam950	10	2	2
fam951	9	2	3
fam952	6	4	3
fam953	5	7	2
fam954	7	5	2
fam955	5	6	2
fam956	9	3	2
fam957	6	6	2
fam958	4	4	5
fam959	7	4	2
fam960	5	4	4
fam961	4	5	4
fam962	5	6	2
fam963	6	4	3
fam964	5	6	2
fam965	6	2	5
fam966	5	5	3
fam967	4	5	4
fam968	11	2	2
fam969	10	2	2
fam970	11	2	2
fam971	11	2	2
fam972	7	4	2
fam973	7	4	2
fam974	7	4	2
fam975	5	4	4
fam976	5	7	2
fam977	9	2	2
fam978	7	5	2
fam979	8	4	2
fam980	5	4	4
fam981	6	6	2
fam982	6	6	2
fam983	8	4	2
fam984	6	2	5
fam985	7	5	2
fam986	5	6	2
fam987	7	5	2
fam988	4	8	2
fam989	6	6	2
fam990	5	7	2
fam991	2	10	2
fam992	5	4	4
fam993	5	6	2
fam994	6	6	2
fam995	7	5	2
fam996	4	4	5
fam997	4	4	4
fam998	4	4	4
fam999	4	4	4
fam1000	4	4	4
fam1001	4	4	4
fam1002	4	4	4
fam1003	4	4	4
fam1004	4	4	4
fam1005	4	4	4
fam1006	4	4	4
fam1007	4	4	4
fam1008	4	4	4
fam1009	4	4	4
fam1010	4	4	4
fam1011	4	4	4
fam1012	4	4	4
fam1013	4	4	4
fam1014	4	4	4
fam1015	4	4	4
fam1016	4	4	4
fam1017	4	5	3
fam1018	5	4	3
fam1019	5	5	2
fam1020	5	2	5
fam1021	5	4	3
fam1022	4	5	3
fam1023	5	2	5
fam1024	5	5	2
fam1025	5	5	2
fam1026	4	5	3
fam1027	2	5	5
fam1028	4	5	3
fam1029	5	4	3
fam1030	3	4	5
fam1031	5	4	3
fam1032	5	3	4
fam1033	3	5	4
fam1034	4	5	3
fam1035	5	3	4
fam1036	5	5	2
fam1037	5	4	3
fam1038	5	4	3
fam1039	5	4	3
fam1040	5	3	4
fam1041	5	4	3
fam1042	3	4	5
fam1043	5	5	2
fam1044	5	5	2
fam1045	5	5	2
fam1046	4	3	5
fam1047	5	5	2
fam1048	3	5	4
fam1049	4	5	3
fam1050	4	3	5
fam1051	5	4	3
fam1052	4	5	3
fam1053	3	4	5
fam1054	5	5	2
fam1055	5	4	3
fam1056	5	5	2
fam1057	5	3	4
fam1058	5	4	3
fam1059	6	2	5
fam1060	6	4	2
fam1061	6	3	3
fam1062	4	6	2
fam1063	5	6	2
fam1064	6	5	2
fam1065	6	5	2
fam1066	6	4	2
fam1067	6	3	3
fam1068	3	3	6
fam1069	6	2	4
fam1070	6	5	2
fam1071	6	2	5
fam1072	6	3	3
fam1073	6	5	2
fam1074	2	4	6
fam1075	4	6	2
fam1076	6	5	2
fam1077	5	6	2
fam1078	2	5	6
fam1079	6	3	3
fam1080	3	3	6
fam1081	6	5	2
fam1082	6	4	2
fam1083	6	2	4
fam1084	5	6	2
fam1085	6	5	2
fam1086	6	2	4
fam1087	5	6	2
fam1088	2	6	4
fam1089	6	2	5
fam1090	6	3	3
fam1091	5	6	2
fam1092	3	6	3
fam1093	6	5	2
fam1094	4	2	6
fam1095	6	5	2
fam1096	6	5	2
fam1097	6	4	2
fam1098	6	5	2
fam1099	6	5	2
fam1100	6	2	5
fam1101	6	5	2
fam1102	6	5	2
fam1103	6	4	2
fam1104	6	5	2
fam1105	6	5	2
fam1106	6	2	4
fam1107	3	3	6
fam1108	4	2	6
fam1109	6	4	2
fam1110	6	2	4
fam1111	6	2	5
fam1112	6	3	3
fam1113	5	6	2
fam1114	6	5	2
fam1115	6	5	2
fam1116	6	5	2
fam1117	2	6	5
fam1118	6	5	2
fam1119	6	5	2
fam1120	3	6	3
fam1121	5	2	6
fam1122	5	3	4
fam1123	7	4	2
fam1124	7	4	2
fam1125	4	7	2
fam1126	7	4	2
fam1127	2	3	7
fam1128	4	7	2
fam1129	7	4	2
fam1130	4	7	2
fam1131	4	2	7
fam1132	7	4	2
fam1133	4	7	2
fam1134	2	7	4
fam1135	7	4	2
fam1136	4	7	2
fam1137	4	7	2
fam1138	7	2	3
fam1139	4	7	2
fam1140	6	5	2
fam1141	2	7	4
fam1142	7	3	2
fam1143	7	4	2
fam1144	7	4	2
fam1145	7	2	4
fam1146	4	7	2
fam1147	7	3	2
fam1148	7	3	2
fam1149	4	7	2
fam1150	4	6	2
fam1151	5	4	3
fam1152	4	4	4
fam1153	6	5	2
fam1154	6	5	2
fam1155	6	5	2
fam1156	6	4	2
fam1157	5	5	2
fam1158	6	4	2
fam1159	6	5	2
fam1160	3	8	2
fam1161	8	3	2
fam1162	8	3	2
fam1163	8	2	2
fam1164	3	8	2
fam1165	8	3	2
fam1166	4	4	4
fam1167	8	3	2
fam1168	8	2	2
fam1169	8	2	2
fam1170	8	3	2
fam1171	3	8	2
fam1172	8	2	2
fam1173	8	2	3
fam1174	8	3	2
fam1175	8	3	2
fam1176	8	3	2
fam1177	8	2	2
fam1178	7	4	2
fam1179	7	4	2
fam1180	6	2	4
fam1181	4	3	5
fam1182	6	2	5
fam1183	6	4	2
fam1184	5	3	4
fam1185	5	4	3
fam1186	5	6	2
fam1187	6	5	2
fam1188	6	4	2
fam1189	2	2	9
fam1190	9	2	2
fam1191	5	4	3
fam1192	2	9	2
fam1193	9	2	2
fam1194	9	2	2
fam1195	9	2	2
fam1196	5	3	4
fam1197	2	9	2
fam1198	9	2	2
fam1199	5	6	2
fam1200	4	5	3
fam1201	7	4	2
fam1202	5	6	2
fam1203	6	2	4
fam1204	3	4	5
fam1205	3	6	3
fam1206	6	3	3
fam1207	4	4	4
fam1208	4	7	2
fam1209	7	4	2
fam1210	5	5	2
fam1211	4	4	4
fam1212	10	2	2
fam1213	10	2	2
fam1214	5	5	2
fam1215	10	2	2
fam1216	10	2	2
fam1217	10	2	2
fam1218	10	2	2
fam1219	10	2	2
fam1220	10	2	2
fam1221	10	2	2
fam1222	10	2	2
fam1223	9	2	2
fam1224	6	4	2
fam1225	10	2	2
fam1226	10	2	2
fam1227	10	2	2
fam1228	10	2	2
fam1229	5	5	2
fam1230	2	10	2
fam1231	5	4	3
fam1232	7	2	4
fam1233	7	3	2
fam1234	7	4	2
fam1235	5	4	3
fam1236	7	4	2
fam1237	7	4	2
fam1238	5	5	2
fam1239	7	2	3
fam1240	7	2	3
fam1241	6	2	4
fam1242	3	4	4
fam1243	4	4	3
fam1244	4	4	3
fam1245	4	4	3
fam1246	4	4	3
fam1247	4	3	4
fam1248	4	4	3
fam1249	4	4	3
fam1250	4	4	3
fam1251	4	3	4
fam1252	4	3	4
fam1253	4	4	3
fam1254	4	3	4
fam1255	4	4	3
fam1256	4	4	3
fam1257	4	3	4
fam1258	4	4	3
fam1259	4	3	4
fam1260	3	4	4
fam1261	4	4	3
fam1262	4	4	3
fam1263	4	3	4
fam1264	4	4	3
fam1265	4	4	3
fam1266	4	4	3
fam1267	4	4	3
fam1268	4	4	3
fam1269	4	3	4
fam1270	4	4	3
fam1271	4	4	3
fam1272	4	4	3
fam1273	4	4	3
fam1274	4	3	4
fam1275	4	4	3
fam1276	4	4	3
fam1277	4	4	3
fam1278	4	3	4
fam1279	4	4	3
fam1280	4	5	2
fam1281	3	5	3
fam1282	5	2	4
fam1283	5	3	3
fam1284	5	4	2
fam1285	4	5	2
fam1286	5	5	2
fam1287	3	5	3
fam1288	5	5	2
fam1289	5	4	2
fam1290	5	5	2
fam1291	5	5	2
fam1292	5	5	2
fam1293	5	5	2
fam1294	5	5	2
fam1295	2	5	5
fam1296	5	3	3
fam1297	5	5	2
fam1298	5	5	2
fam1299	5	4	2
fam1300	5	3	3
fam1301	5	5	2
fam1302	4	2	5
fam1303	3	3	5
fam1304	2	5	4
fam1305	3	5	3
fam1306	5	3	3
fam1307	5	2	4
fam1308	5	5	2
fam1309	5	5	2
fam1310	5	5	2
fam1311	5	2	4
fam1312	5	5	2
fam1313	5	5	2
fam1314	5	2	4
fam1315	5	5	2
fam1316	5	2	4
fam1317	5	4	2
fam1318	5	4	2
fam1319	5	4	2
fam1320	5	4	2
fam1321	3	3	5
fam1322	3	5	3
fam1323	5	5	2
fam1324	5	3	3
fam1325	5	4	2
fam1326	5	5	2
fam1327	5	4	2
fam1328	5	5	2
fam1329	4	5	2
fam1330	5	5	2
fam1331	2	5	4
fam1332	4	5	2
fam1333	3	3	5
fam1334	4	5	2
fam1335	5	5	2
fam1336	5	2	4
fam1337	4	5	2
fam1338	4	5	2
fam1339	3	5	3
fam1340	5	2	5
fam1341	5	3	3
fam1342	5	4	2
fam1343	5	4	2
fam1344	4	5	2
fam1345	5	5	2
fam1346	5	5	2
fam1347	4	5	2
fam1348	5	3	3
fam1349	5	5	2
fam1350	2	5	4
fam1351	5	5	2
fam1352	5	4	2
fam1353	3	5	3
fam1354	5	5	2
fam1355	5	5	2
fam1356	2	4	5
fam1357	5	2	5
fam1358	5	5	2
fam1359	4	5	2
