species,latitude,longitude,country,year,dataset,basisOfRecord
"Budorcas taxicolor Hodgson, 1850",35.078382,-106.663485,United States of America,2017,Unknown,PRESERVED_SPECIMEN
"Budorcas taxicolor Hodgson, 1850",35.078382,-106.663485,United States of America,2017,Unknown,PRESERVED_SPECIMEN
"Budorcas taxicolor Hodgson, 1850",35.078382,-106.663485,United States of America,2017,Unknown,PRESERVED_SPECIMEN
"Budorcas taxicolor Hodgson, 1850",35.078382,-106.663485,United States of America,2017,Unknown,PRESERVED_SPECIMEN
"Budorcas tibetana (Milne-Edwards, 1874)",32.576396,104.761217,China,2017,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Budorcas taxicolor Hodgson, 1850",27.534067,89.691657,Bhutan,2017,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Budorcas taxicolor Hodgson, 1850",27.436709,89.667294,Bhutan,2017,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Budorcas taxicolor whitei Lydekker, 1907",27.480633,89.61132,Bhutan,2017,Unknown,HUMAN_OBSERVATION
"Budorcas taxicolor whitei Lydekker, 1907",27.475647,89.608681,Bhutan,2017,Unknown,HUMAN_OBSERVATION
"Budorcas taxicolor Hodgson, 1850",27.481773,89.611427,Bhutan,2017,Unknown,HUMAN_OBSERVATION
"Budorcas taxicolor Hodgson, 1850",35.078382,-106.663485,United States of America,2017,Unknown,PRESERVED_SPECIMEN
"Budorcas taxicolor Hodgson, 1850",27.472792,89.63929,Bhutan,2017,Unknown,HUMAN_OBSERVATION
"Budorcas taxicolor bedfordi Thomas, 1911",52.523594,13.539903,Germany,2017,Unknown,HUMAN_OBSERVATION
"Budorcas tibetana (Milne-Edwards, 1874)",31.815296,103.589744,China,2017,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Budorcas tibetana (Milne-Edwards, 1874)",32.72855,105.042887,China,2017,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Budorcas tibetana (Milne-Edwards, 1874)",32.72855,105.042887,China,2017,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Budorcas tibetana (Milne-Edwards, 1874)",32.723929,105.04014,China,2017,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Budorcas tibetana (Milne-Edwards, 1874)",32.714685,105.04014,China,2017,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Budorcas tibetana (Milne-Edwards, 1874)",32.705441,105.034647,China,2017,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Budorcas tibetana (Milne-Edwards, 1874)",32.714685,105.045633,China,2017,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Budorcas tibetana (Milne-Edwards, 1874)",32.714685,105.04838,China,2017,iNaturalist research-grade observations,HUMAN_OBSERVATION
Budorcas taxicolor taxicolor,28.258152,95.863279,India,2017,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Budorcas tibetana (Milne-Edwards, 1874)",31.754149,103.586997,China,2017,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Budorcas tibetana (Milne-Edwards, 1874)",31.656454,103.581504,China,2017,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Budorcas tibetana (Milne-Edwards, 1874)",32.723929,105.023661,China,2017,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Budorcas tibetana (Milne-Edwards, 1874)",32.723929,105.031901,China,2017,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Budorcas tibetana (Milne-Edwards, 1874)",32.72855,105.04014,China,2017,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Budorcas tibetana (Milne-Edwards, 1874)",32.719307,105.034647,China,2017,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Budorcas tibetana (Milne-Edwards, 1874)",32.719307,105.037394,China,2017,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Budorcas tibetana (Milne-Edwards, 1874)",31.90395,104.324735,China,2017,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Budorcas tibetana (Milne-Edwards, 1874)",32.721618,105.029154,China,2017,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Budorcas tibetana (Milne-Edwards, 1874)",32.707753,105.029154,China,2017,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Budorcas taxicolor Hodgson, 1850",35.078382,-106.663485,United States of America,2017,Unknown,PRESERVED_SPECIMEN
"Budorcas taxicolor Hodgson, 1850",35.078382,-106.663485,United States of America,2017,Unknown,PRESERVED_SPECIMEN
"Budorcas taxicolor Hodgson, 1850",35.078382,-106.663485,United States of America,2017,Unknown,PRESERVED_SPECIMEN
"Budorcas taxicolor Hodgson, 1850",35.078382,-106.663485,United States of America,2017,Unknown,PRESERVED_SPECIMEN
"Budorcas tibetana (Milne-Edwards, 1874)",32.587782,104.823197,China,2017,iNaturalist research-grade observations,HUMAN_OBSERVATION
